SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-19-2018,Single Family Residential,1361 Blewett Ave,SAN JOSE,CA,95125,1250000,2,1.0,SAN JOSE,1334,6381,1925,11,937,,Sold,,,http://www.redfin.com/CA/San-Jose/1361-Blewett-Ave-95125/home/838817,MLSListings,ML81686443,N,Y,37.3045222,-121.8967815
PAST SALE,September-18-2017,Single Family Residential,4121 Davis St,SANTA CLARA,CA,95054,800000,2,1.0,SANTA CLARA,861,5000,1950,134,929,,Sold,,,http://www.redfin.com/CA/Santa-Clara/4121-Davis-St-95054/home/580160,MLSListings,ML81670859,N,Y,37.3923283,-121.9587241
PAST SALE,October-24-2017,Single Family Residential,279 S 24th St,SAN JOSE,CA,95116,527000,2,1.0,SAN JOSE,690,4810,1926,98,764,,Sold,,,http://www.redfin.com/CA/San-Jose/279-S-24th-St-95116/home/1284180,MLSListings,ML81673234,N,Y,37.3425968,-121.8637281
PAST SALE,December-15-2017,Condo/Co-op,325 N 3rd St #2,CAMPBELL,CA,95008,626000,2,1.0,CAMPBELL,903,2000,1971,46,693,230,Sold,,,http://www.redfin.com/CA/Campbell/325-N-3rd-St-95008/unit-2/home/1095720,MLSListings,ML81684085,N,Y,37.2919581,-121.9473956
PAST SALE,October-25-2017,Single Family Residential,53 Wilson Ave,SAN JOSE,CA,95126,783000,3,1.0,SAN JOSE,1404,5800,1900,97,558,,Sold,,,http://www.redfin.com/CA/San-Jose/53-Wilson-Ave-95126/home/708116,MLSListings,ML81680452,N,Y,37.3304971,-121.9057895
PAST SALE,November-7-2017,Single Family Residential,1855 Esberg Rd,LOS ALTOS,CA,94024,2665000,2,1.0,LOS ALTOS,1008,11250,1951,84,2644,,Sold,,,http://www.redfin.com/CA/Los-Altos/1855-Esberg-Rd-94024/home/776222,MLSListings,ML81678454,N,Y,37.3455586,-122.091703
PAST SALE,October-6-2017,Condo/Co-op,334 Santana Row #237,SAN JOSE,CA,95128,636000,1,1.0,SAN JOSE,736,435,2002,116,864,383,Sold,,,http://www.redfin.com/CA/San-Jose/334-Santana-Row-95128/unit-237/home/17293035,MLSListings,ML81677894,N,Y,37.3222528,-121.9472191
PAST SALE,,Single Family Residential,439 N White Rd,San Jose,CA,95127,121500,2,1.0,,803,4830,1958,,151,,,,,http://www.redfin.com/CA/San-Jose/439-N-White-Rd-95127/home/921441,,,N,Y,37.377368,-121.83768
PAST SALE,September-20-2017,Condo/Co-op,3592 Payne Ave #8,SAN JOSE,CA,95117,455000,2,1.0,SAN JOSE,910,1050,1963,132,500,292,Sold,,,http://www.redfin.com/CA/San-Jose/3592-Payne-Ave-95117/unit-8/home/971653,MLSListings,ML81674166,N,Y,37.301005,-121.96344
PAST SALE,September-29-2017,Single Family Residential,1720 Lincoln Ave,SAN JOSE,CA,95125,930000,2,1.0,SAN JOSE,1359,6240,1924,123,684,,Sold,,,http://www.redfin.com/CA/San-Jose/1720-Lincoln-Ave-95125/home/1108112,MLSListings,ML81673961,N,Y,37.2982482,-121.8929689
PAST SALE,November-13-2017,Single Family Residential,220 Friar Way,CAMPBELL,CA,95008,1150000,3,1.0,CAMPBELL,1503,6180,1957,78,765,,Sold,,,http://www.redfin.com/CA/Campbell/220-Friar-Way-95008/home/1847121,MLSListings,ML81680176,N,Y,37.275616,-121.9532282
PAST SALE,October-10-2017,Condo/Co-op,1310 Saddle Rack St #434,SAN JOSE,CA,95126,660000,2,1.0,SAN JOSE,1175,1175,2004,112,562,449,Sold,,,http://www.redfin.com/CA/San-Jose/1310-Saddle-Rack-St-95126/unit-434/home/1773877,MLSListings,ML81677125,N,Y,37.3202572,-121.9118611
PAST SALE,,Single Family Residential,15340 Union Ave,San Jose,CA,95124,1335000,2,1.0,,1056,23300,1952,,1264,,,,,http://www.redfin.com/CA/San-Jose/15340-Union-Ave-95124/home/832578,,,N,Y,37.2457455,-121.9309543
PAST SALE,December-11-2017,Single Family Residential,353 Washington St,SAN JOSE,CA,95112,630000,2,1.0,SAN JOSE,840,6486,1901,50,750,,Sold,,,http://www.redfin.com/CA/San-Jose/353-Washington-St-95112/home/696606,MLSListings,ML81671451,N,Y,37.3465251,-121.8877714
PAST SALE,October-4-2017,Single Family Residential,477 Irving Ave,SAN JOSE,CA,95128,760000,2,1.0,SAN JOSE,672,4000,1920,118,1131,,Sold,,,http://www.redfin.com/CA/San-Jose/477-Irving-Ave-95128/home/1738263,MLSListings,ML81676679,N,Y,37.3203451,-121.9277938
PAST SALE,December-1-2017,Single Family Residential,654 Malarin Ave,Santa Clara,CA,95050,1060000,2,1.0,Santa Clara County,836,5611,1951,60,1268,,Sold,,,http://www.redfin.com/CA/Santa-Clara/654-Malarin-Ave-95050/home/771230,BAREIS,21726162,N,Y,37.3396933,-121.9599859
PAST SALE,December-27-2017,Single Family Residential,2214 Benton St,SANTA CLARA,CA,95050,1207000,3,1.0,SANTA CLARA,1036,5486,1950,34,1165,,Sold,,,http://www.redfin.com/CA/Santa-Clara/2214-Benton-St-95050/home/1621282,MLSListings,ML81687171,N,Y,37.3461045,-121.9625287
PAST SALE,October-18-2017,Condo/Co-op,1411 Mcquesten Dr Unit D,SAN JOSE,CA,95122,428000,2,1.0,SAN JOSE,876,1105,1980,104,489,331,Sold,,,http://www.redfin.com/CA/San-Jose/1411-McQuesten-Dr-95122/unit-D/home/1316078,MLSListings,ML81676950,N,Y,37.3307969,-121.845751
PAST SALE,December-29-2017,Condo/Co-op,870 Gilchrist Dr #1,SAN JOSE,CA,95133,450000,2,1.0,SAN JOSE,810,6600,1971,32,556,301,Sold,,,http://www.redfin.com/CA/San-Jose/870-Gilchrist-Dr-95133/unit-1/home/113813435,MLSListings,ML81686023,N,Y,37.3798774,-121.8550902
PAST SALE,September-8-2017,Single Family Residential,1025 Empey Way,SAN JOSE,CA,95128,767000,2,1.0,SAN JOSE,932,7550,1941,144,823,,Sold,,,http://www.redfin.com/CA/San-Jose/1025-Empey-Way-95128/home/1181451,MLSListings,ML81646609,N,Y,37.3077459,-121.938077
PAST SALE,October-20-2017,Condo/Co-op,2025 California St #47,MOUNTAIN VIEW,CA,94040,550000,1,1.0,MOUNTAIN VIEW,640,720,1965,102,859,390,Sold,,,http://www.redfin.com/CA/Mountain-View/2025-California-St-94040/unit-47/home/934409,MLSListings,ML81681093,N,Y,37.3980861,-122.0982699
PAST SALE,October-6-2017,Single Family Residential,931 Wainwright Dr,SAN JOSE,CA,95128,1080000,2,1.0,SAN JOSE,1165,9222,1948,116,927,,Sold,,,http://www.redfin.com/CA/San-Jose/931-Wainwright-Dr-95128/home/1198862,MLSListings,ML81675391,N,Y,37.303762,-121.934715
PAST SALE,August-7-2017,Condo/Co-op,3599 S Bascom Ave #48,CAMPBELL,CA,95008,470000,1,1.0,CAMPBELL,746,800,1984,176,630,361,Sold,,,http://www.redfin.com/CA/Campbell/3599-S-Bascom-Ave-95008/unit-48/home/1265129,MLSListings,ML81669901,N,Y,37.2616,-121.947503
PAST SALE,,Single Family Residential,3122 Hilary Dr,San Jose,CA,95124,880000,3,1.0,,984,6240,1955,,894,,,,,http://www.redfin.com/CA/San-Jose/3122-Hilary-Dr-95124/home/827627,,,N,Y,37.2660754,-121.9259436
PAST SALE,,Single Family Residential,1252 Walnut Dr,Campbell,CA,95008,1250000,3,1.0,,1463,18730,1954,,854,,,,,http://www.redfin.com/CA/Campbell/1252-Walnut-Dr-95008/home/1636833,,,N,Y,37.2682896,-121.9586612
PAST SALE,August-25-2017,Condo/Co-op,1390 Saddle Rack St #134,SAN JOSE,CA,95126,540000,1,1.0,SAN JOSE,917,917,2004,158,589,449,Sold,,,http://www.redfin.com/CA/San-Jose/1390-Saddle-Rack-St-95126/unit-134/home/1168584,MLSListings,ML81672842,N,Y,37.3201952,-121.9130958
