SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-16-2017,Townhouse,91 City Limits Cir,Oakland,CA,94608,755000,2,2.5,Nobe,1151,,2005,114,656,246,Sold,,,http://www.redfin.com/CA/Oakland/91-City-Limits-Cir-94608/home/2111902,EBRD/CCAR/Bay East,40795772,N,Y,37.8491645,-122.2883154
PAST SALE,September-6-2017,Townhouse,44 Glashaus Loop,Emeryville,CA,94608,716888,2,2.5,Emeryville,1121,,2007,154,640,210,Sold,,,http://www.redfin.com/CA/Emeryville/44-Glashaus-Loop-94608/home/17185729,EBRD/CCAR/Bay East,40785663,N,Y,37.846639,-122.290397
PAST SALE,January-13-2017,Condo/Co-op,1500 Park Ave #120,Emeryville,CA,94608,575000,1,1.0,Emeryville,972,,1921,390,592,380,Sold,,,http://www.redfin.com/CA/Emeryville/1500-Park-Ave-94608/unit-120/home/1710241,EBRD/CCAR/Bay East,40763876,N,Y,37.830922,-122.2896093
PAST SALE,June-21-2016,Condo/Co-op,1001 46TH St #210,Emeryville,CA,94608,515000,2,1.0,Emeryville Bordr,1100,,2008,596,468,365,Sold,,,http://www.redfin.com/CA/Emeryville/1001-46th-St-94608/unit-210/home/144483130,EBRD/CCAR/Bay East,40734756,N,Y,37.835349,-122.276275
PAST SALE,August-28-2017,Condo/Co-op,1121 40Th St #2207,Emeryville,CA,94608,545000,2,2.0,Emeryville,1146,,2005,163,476,536,Sold,,,http://www.redfin.com/CA/Emeryville/1121-40th-St-94608/unit-2207/home/2112022,EBRD/CCAR/Bay East,40786443,N,Y,37.8309242,-122.2793573
PAST SALE,,Condo/Co-op,7 Commodore Dr Unit A352,Emeryville,CA,94608,485000,1,1.0,,764,,1973,,635,,,,,http://www.redfin.com/CA/Emeryville/7-Commodore-Dr-94608/unit-A352/home/635676,,,N,Y,37.8374431,-122.3045865
PAST SALE,June-12-2017,Condo/Co-op,6400 Christie Ave,Emeryville,CA,94608,450000,1,1.0,Emeryville,743,,1988,240,606,429,Sold,,,http://www.redfin.com/CA/Emeryville/6400-Christie-Ave-94608/home/17188083,San Francisco MLS,457573,N,Y,37.845051,-122.295366
PAST SALE,July-19-2017,Condo/Co-op,6400 Christie Ave #1104,EMERYVILLE,CA,94608,465000,1,1.0,EMERYVILLE,685,286590,1988,203,679,419,Sold,,,http://www.redfin.com/CA/Emeryville/6400-Christie-Ave-94608/unit-1104/home/640794,MLSListings,ML81653927,N,Y,37.845051,-122.295366
PAST SALE,,Condo/Co-op,3 Commodore Dr Unit B354,Emeryville,CA,94608,335000,0,1.0,,432,,1973,,775,,,,,http://www.redfin.com/CA/Emeryville/3-Commodore-Dr-94608/unit-B354/home/1198078,,,N,Y,37.8380493,-122.3056216
PAST SALE,,Condo/Co-op,6 Admiral Dr Unit A288,Emeryville,CA,94608,411000,1,1.0,,864,,1973,,476,,,,,http://www.redfin.com/CA/Emeryville/6-Admiral-Dr-94608/unit-A288/home/1042795,,,N,Y,37.838743,-122.3059863
PAST SALE,August-1-2017,Condo/Co-op,2 Anchor Dr Unit F386,Emeryville,CA,94608,345000,0,1.0,Watergate,470,,1974,190,734,394,Sold,,,http://www.redfin.com/CA/Emeryville/2-Anchor-Dr-94608/unit-F386/home/1251735,EBRD/CCAR/Bay East,40784085,N,Y,37.8376172,-122.3068029
