,Coefficients,Feature
2,137.109573195477,SQUARE FEET
1,40.74162954453141,BATHS
3,19.527121483428722,YEAR BUILT
0,13.832355097186383,BEDS
4,8.555912366469745,HOA/MONTH
126,339938.0990836432,ZIP_95148
35,1878.1110446610119,ZIP_94115
11,87.19558204653275,ZIP_94022
41,63.97347664143205,ZIP_94301
44,47.26880192294752,ZIP_94306
13,34.04917772987765,ZIP_94025
92,33.754707308520715,ZIP_95014
46,30.415230568804013,ZIP_94402
15,29.287462805918555,ZIP_94040
17,28.568439385778696,ZIP_94043
16,21.866163155325715,ZIP_94041
7,20.20926425357208,ZIP_94010
14,18.327655258162235,ZIP_94030
24,16.231758145817768,ZIP_94070
22,14.820429088562346,ZIP_94065
101,14.48002486157876,ZIP_95070
42,12.911697554425883,ZIP_94303
12,12.396733027448569,ZIP_94024
28,12.15152213953412,ZIP_94087
48,11.619200554963522,ZIP_94404
85,10.191323308782984,ZIP_94705
47,9.773106494017322,ZIP_94403
21,8.896196600141723,ZIP_94063
36,7.3601170059824295,ZIP_94117
94,7.322999060128232,ZIP_95030
39,7.299311710141656,ZIP_94131
45,7.143206132725254,ZIP_94401
26,6.969426473544169,ZIP_94085
27,6.728614251261928,ZIP_94086
32,5.345077894879507,ZIP_94107
89,4.786356124294102,ZIP_94709
5,4.752226813776631,ZIP_94002
30,4.318181991906491,ZIP_94102
84,4.076233534911581,ZIP_94704
82,4.072301888981497,ZIP_94702
29,3.8656880608354514,ZIP_94089
33,3.71756196240833,ZIP_94109
37,3.676829261436418,ZIP_94121
117,3.2494357481386795,ZIP_95128
80,2.955787733344851,ZIP_94618
100,2.8395108540294407,ZIP_95054
43,2.2440931489548546,ZIP_94305
78,1.6423769997600846,ZIP_94611
88,1.2436458655633613,ZIP_94708
87,0.12942088793773437,ZIP_94707
118,0.07264086760834179,ZIP_95129
31,0.0,ZIP_94105
34,0.0,ZIP_94110
19,-0.661913251522211,ZIP_94061
122,-0.7959194024872323,ZIP_95134
73,-0.9538350926113328,ZIP_94606
71,-1.1055875617719224,ZIP_94602
109,-1.259281102931344,ZIP_95119
119,-1.3489287478792287,ZIP_95131
114,-1.4510597171267872,ZIP_95125
38,-1.5470735056911131,ZIP_94122
40,-1.710699457384626,ZIP_94134
74,-1.9306212312209656,ZIP_94607
115,-2.3180776237258853,ZIP_95126
90,-2.6738136824106484,ZIP_94710
76,-3.1646242083652796,ZIP_94609
23,-3.3974986844827044,ZIP_94066
95,-3.875118748060183,ZIP_95032
72,-4.118952925342558,ZIP_94605
120,-4.131233470221439,ZIP_95132
105,-4.243247580078659,ZIP_95113
125,-4.515978836278897,ZIP_95138
77,-4.632314422251012,ZIP_94610
107,-4.740476444346706,ZIP_95117
83,-4.777361942173172,ZIP_94703
53,-5.0956752919575505,ZIP_94539
20,-5.4128241937199055,ZIP_94062
61,-5.938294477112868,ZIP_94555
79,-6.550241544333148,ZIP_94612
69,-6.666578579371988,ZIP_94588
110,-6.789822263117514,ZIP_95121
113,-6.918020876032843,ZIP_95124
81,-7.08252596137288,ZIP_94619
10,-7.091405702656918,ZIP_94019
8,-7.1366089208992545,ZIP_94014
18,-7.248850544134473,ZIP_94044
124,-7.348478962764203,ZIP_95136
50,-7.8469737351163245,ZIP_94502
99,-8.428982905246952,ZIP_95051
108,-8.727111488406715,ZIP_95118
98,-9.173389849047439,ZIP_95050
55,-9.640793515301517,ZIP_94542
52,-9.739333644423908,ZIP_94538
9,-9.822517485385088,ZIP_94015
104,-9.952875944498462,ZIP_95112
102,-9.979971665154679,ZIP_95110
67,-9.982893856925855,ZIP_94579
91,-10.024234504646952,ZIP_95008
116,-10.29787446839002,ZIP_95127
25,-10.512185489165994,ZIP_94080
70,-10.98733258248897,ZIP_94601
75,-11.067230348469902,ZIP_94608
121,-11.152475531526203,ZIP_95133
111,-11.510139897743885,ZIP_95122
57,-11.68913226274815,ZIP_94545
63,-11.995021772145705,ZIP_94566
123,-12.667575806068278,ZIP_95135
60,-12.832542825214528,ZIP_94551
59,-13.57763487503212,ZIP_94550
51,-13.782361098419788,ZIP_94536
6,-13.91843802178657,ZIP_94005
86,-15.141030795622896,ZIP_94706
106,-15.16241634181071,ZIP_95116
58,-15.289520902827944,ZIP_94546
66,-15.467692356258429,ZIP_94578
103,-18.12671407991978,ZIP_95111
56,-20.207390607287522,ZIP_94544
68,-20.418308639493087,ZIP_94587
64,-23.474041366864082,ZIP_94568
49,-23.91726192371378,ZIP_94501
112,-26.40849425444528,ZIP_95123
54,-28.83322931325994,ZIP_94541
65,-31.34536672403075,ZIP_94577
97,-31.566858123378687,ZIP_95037
93,-33.307697065761396,ZIP_95020
96,-34.49047034611513,ZIP_95035
62,-34.50537982278572,ZIP_94560
