,Coefficients,Feature
2,856.247733554769,SQUARE FEET
3,62.66154996455694,LOT SIZE
1,9.080074620407702,BATHS
4,-89.922958198598,YEAR BUILT
0,-119.93241387456716,BEDS
17,316.6461986059143,ZIP_94027
58,177.7829346379945,ZIP_94301
14,167.07307197142998,ZIP_94022
16,134.1066852972343,ZIP_94025
15,121.35391014824201,ZIP_94024
7,119.47579220651407,ZIP_94010
62,117.65559689051123,ZIP_94306
28,117.64660861448888,ZIP_94062
18,84.91410866062469,ZIP_94028
130,69.94071960201615,ZIP_95070
118,66.81746424604387,ZIP_95014
37,65.7901693453109,ZIP_94087
22,54.11904273246553,ZIP_94040
52,52.921174831814625,ZIP_94123
32,48.082366446796115,ZIP_94070
59,40.8097561819762,ZIP_94303
24,36.075377429255084,ZIP_94043
64,34.15883929859269,ZIP_94402
121,33.51512755835978,ZIP_95030
49,32.002925959207175,ZIP_94118
27,31.05007742709411,ZIP_94061
55,29.872741739239192,ZIP_94131
5,29.535827706805662,ZIP_94002
128,27.498817910878515,ZIP_95051
147,27.184974934292153,ZIP_95129
45,25.806296466783298,ZIP_94114
23,24.85011894890214,ZIP_94041
36,22.687579543858387,ZIP_94086
60,22.664812124122623,ZIP_94304
122,22.082481883141767,ZIP_95032
38,21.776397391037502,ZIP_94089
65,20.541627952196972,ZIP_94403
66,20.03822397730845,ZIP_94404
42,17.15246289662579,ZIP_94109
19,14.606943274797596,ZIP_94030
148,13.247867812860616,ZIP_95130
30,12.413165219762284,ZIP_94065
48,12.337140432713083,ZIP_94117
35,12.165693449251636,ZIP_94085
43,10.954451995660524,ZIP_94110
120,10.085782959156573,ZIP_95025
54,9.290192772261845,ZIP_94127
46,8.188379247298906,ZIP_94115
142,7.6798727296800555,ZIP_95124
41,5.932564154392405,ZIP_94107
117,4.956715412830278,ZIP_95008
149,4.361844990618745,ZIP_95131
136,3.0429275920189967,ZIP_95118
47,1.3007507275773755,ZIP_94116
39,1.2699032005531625,ZIP_94102
