,Coefficients,Feature
2,131.73460783948207,SQUARE FEET
1,54.42581660643052,BATHS
3,36.33409913954554,YEAR BUILT
0,14.60044954490987,BEDS
4,10.6584878873698,HOA/MONTH
13,118.66680221304152,ZIP_94025
72,71.88921431761834,ZIP_95014
11,63.59787928443972,ZIP_94022
16,62.86095929633995,ZIP_94043
40,56.78167778828267,ZIP_94404
34,54.84941590019034,ZIP_94301
36,51.78481707843401,ZIP_94306
14,45.59187262494363,ZIP_94040
81,43.80317631525391,ZIP_95070
32,38.01614475847741,ZIP_94133
26,35.23146309884797,ZIP_94087
35,34.49242062634619,ZIP_94303
98,33.67903539161449,ZIP_95129
21,32.690306566304756,ZIP_94065
39,31.0122713179906,ZIP_94403
15,26.733931904418444,ZIP_94041
75,26.119607446294467,ZIP_95032
25,24.057882918520477,ZIP_94086
79,23.131047401883244,ZIP_95051
12,21.98198743169365,ZIP_94024
7,20.57897384664308,ZIP_94010
74,19.133016275985707,ZIP_95030
38,17.925190851756504,ZIP_94402
80,17.17738003435182,ZIP_95054
22,16.55817441369265,ZIP_94070
20,12.068056461750233,ZIP_94063
18,11.158658205843349,ZIP_94061
24,11.090467219456533,ZIP_94085
5,11.045972918133337,ZIP_94002
70,10.80421287034996,ZIP_94709
27,7.623886840967218,ZIP_94089
86,5.416130092380971,ZIP_95117
78,5.358305048792888,ZIP_95050
68,4.0454070361398005,ZIP_94703
37,3.027277488126321,ZIP_94401
97,2.2312754314397454,ZIP_95128
89,1.480896391431354,ZIP_95120
45,1.2379233040876436,ZIP_94539
94,1.012469267821456,ZIP_95125
82,0.3526849544021712,ZIP_95110
31,0.22140797879803362,ZIP_94131
69,-0.6606169159924932,ZIP_94706
84,-0.8796529730735706,ZIP_95112
29,-1.2331626481269242,ZIP_94111
93,-1.7372978038789568,ZIP_95124
95,-2.2208344937753535,ZIP_95126
87,-2.745191634693115,ZIP_95118
8,-3.0126721244805648,ZIP_94014
88,-3.2207436362094946,ZIP_95119
103,-3.8099505635334276,ZIP_95134
100,-3.9298495877836315,ZIP_95131
102,-3.95943433258769,ZIP_95133
105,-5.469658562681291,ZIP_95138
30,-5.537004284019158,ZIP_94124
99,-5.537972160722744,ZIP_95130
59,-5.876975716576831,ZIP_94586
66,-6.230885658206423,ZIP_94618
71,-6.5734835846460875,ZIP_95008
96,-7.791470972960875,ZIP_95127
6,-8.27143441900232,ZIP_94005
106,-8.424376097878802,ZIP_95139
64,-8.473998060852601,ZIP_94606
107,-8.512104949046593,ZIP_95148
51,-8.879612486059825,ZIP_94552
85,-9.23729064748319,ZIP_95116
92,-9.767821626765441,ZIP_95123
62,-9.821877873189306,ZIP_94603
65,-10.141507823803872,ZIP_94608
90,-10.162699913470181,ZIP_95121
58,-10.327000565420128,ZIP_94579
52,-10.406058219284981,ZIP_94555
104,-10.431295163433724,ZIP_95136
91,-11.252479179553106,ZIP_95122
67,-11.995042747299149,ZIP_94619
23,-11.997863330789738,ZIP_94080
83,-13.086664405810902,ZIP_95111
101,-14.019793456578805,ZIP_95132
10,-14.482671784448488,ZIP_94019
17,-16.703942172906913,ZIP_94044
9,-19.221646933035537,ZIP_94015
41,-19.359309055774514,ZIP_94501
44,-20.88092786250381,ZIP_94538
43,-21.23281833195704,ZIP_94536
33,-22.571914415762734,ZIP_94134
57,-22.80677194772848,ZIP_94578
49,-23.771247735343515,ZIP_94550
54,-24.635953125023754,ZIP_94566
55,-24.754274043595977,ZIP_94568
48,-28.808984401375582,ZIP_94545
76,-29.66169618340496,ZIP_95035
47,-31.794666676157103,ZIP_94544
56,-33.40107848013632,ZIP_94577
73,-33.62566071615063,ZIP_95020
63,-36.15725423656411,ZIP_94605
61,-42.15854965811655,ZIP_94588
42,-45.128836202290856,ZIP_94502
53,-46.17644945211216,ZIP_94560
60,-52.962947587883924,ZIP_94587
77,-54.53038268391395,ZIP_95037
50,-55.55721714104068,ZIP_94551
46,-67.22083473742856,ZIP_94541
28,-44599.931977287895,ZIP_94102
19,-44599.931977287895,ZIP_94062
