,PROPERTY TYPE,CITY,ZIP,PRICE IN K,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,COUNTY,LOT,HOA
115,TH,UNION CITY,94587,139.0,3.0,2.0,1357.0,1564.02679528403,1971.0,344.8857581967213,ALAMEDA,1,0
208,TH,FOSTER CITY,94404,165.0,2.0,1.0,998.0,1564.02679528403,1965.0,344.8857581967213,SAN MATEO,1,0
250,TH,DALY CITY,94014,175.0,2.0,1.0,788.0,1564.02679528403,1964.0,344.8857581967213,SAN MATEO,1,0
347,TH,ALAMEDA,94502,196.0,1.0,1.0,1042.0,1564.02679528403,1985.0,344.8857581967213,ALAMEDA,1,0
588,TH,PACIFICA,94044,250.0,2.0,2.0,1675.0,1564.02679528403,1995.0,344.8857581967213,SAN MATEO,1,0
1097,TH,EAST PALO ALTO,94303,337.5,2.0,2.0,1557.0,1564.02679528403,1980.0,344.8857581967213,SAN MATEO,1,0
1273,TH,SAN LEANDRO,94578,360.0,2.0,1.5,1400.0,1564.02679528403,1983.0,344.8857581967213,ALAMEDA,1,0
1358,TH,HAYWARD,94544,369.0,2.0,1.5,997.0,1564.02679528403,1987.0,100.0,ALAMEDA,1,1
1395,TH,SAN FRANCISCO,94134,371.79,3.0,3.5,1525.0,1564.02679528403,2010.0,383.0,SAN FRANCISCO,1,1
1564,TH,HAYWARD,94541,388.0,2.0,1.5,1016.0,1564.02679528403,1981.0,375.0,ALAMEDA,1,1
1683,TH,SOUTH SAN FRANCISCO,94080,400.0,2.0,2.0,1197.0,1564.02679528403,1984.0,344.8857581967213,SAN MATEO,1,0
1757,TH,SAN JOSE,95123,405.0,2.0,1.0,997.0,1564.02679528403,1979.0,387.0,SANTA CLARA,1,1
1769,TH,HAYWARD,94541,405.0,2.0,1.5,1101.0,1564.02679528403,1980.0,440.0,ALAMEDA,1,1
1805,TH,SAN LEANDRO,94577,410.0,2.0,2.0,1270.0,1564.02679528403,1977.0,326.0,ALAMEDA,1,1
1989,TH,OAKLAND,94606,425.0,4.0,1.0,1682.0,1564.02679528403,1953.0,344.8857581967213,ALAMEDA,1,0
1993,TH,SAN JOSE,95123,425.0,2.0,1.0,810.0,1564.02679528403,1970.0,350.0,SANTA CLARA,1,1
2090,TH,LIVERMORE,94551,430.0,2.0,2.5,982.0,1564.02679528403,1983.0,315.0,ALAMEDA,1,1
2099,TH,MORGAN HILL,95037,430.0,2.0,1.5,919.0,1564.02679528403,1992.0,188.0,SANTA CLARA,1,1
2124,TH,SAN JOSE,95127,435.0,3.0,1.0,936.0,1564.02679528403,1974.0,180.0,SANTA CLARA,1,1
2212,TH,SAN JOSE,95118,440.0,2.0,1.0,903.0,1564.02679528403,1970.0,319.0,SANTA CLARA,1,1
2440,TH,SAN JOSE,95118,450.0,2.0,1.0,903.0,1564.02679528403,1970.0,319.0,SANTA CLARA,1,1
2482,TH,SAN JOSE,95123,455.0,2.0,1.0,903.0,1564.02679528403,1970.0,344.8857581967213,SANTA CLARA,1,0
2606,TH,NEWARK,94560,465.0,2.0,2.0,1166.0,1564.02679528403,1987.0,344.8857581967213,ALAMEDA,1,0
2672,TH,DALY CITY,94015,468.88800000000003,1.0,1.0,788.0,1564.02679528403,1974.0,373.0,SAN MATEO,1,1
2711,TH,SAN JOSE,95127,470.0,2.0,1.0,814.0,1564.02679528403,1974.0,140.0,SANTA CLARA,1,1
2817,TH,DALY CITY,94015,475.0,1.0,1.0,788.0,1564.02679528403,1974.0,365.0,SAN MATEO,1,1
2955,TH,SAN JOSE,95127,485.0,2.0,1.0,814.0,1564.02679528403,1974.0,140.0,SANTA CLARA,1,1
3093,TH,MENLO PARK,94025,495.0,2.0,1.0,1182.0,1564.02679528403,1983.0,344.8857581967213,SAN MATEO,1,0
3113,TH,UNION CITY,94587,496.0,3.0,1.5,1320.0,1564.02679528403,1985.0,345.0,ALAMEDA,1,1
3136,TH,OAKLAND,94619,500.0,2.0,1.5,1031.0,1564.02679528403,1981.0,300.0,ALAMEDA,1,1
3184,TH,BELMONT,94002,500.0,2.0,2.0,1379.0,1564.02679528403,2005.0,344.8857581967213,SAN MATEO,1,0
