SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-11-2017,Single Family Residential,484 Maud Ave,San Leandro,CA,94577,670000,2,1,Assumption Parsh,1352,6149,1941,379,496,,Sold,,,http://www.redfin.com/CA/San-Leandro/484-Maud-Ave-94577/home/1955149,EBRD/CCAR/Bay East,40765619,N,Y,37.7231789,-122.1487125
PAST SALE,November-10-2016,Townhouse,716 CITY WALK Pl #2,Hayward,CA,94541,489000,2,2.5,Hayward,1361,,2001,441,359,245,Sold,,,http://www.redfin.com/CA/Hayward/716-City-Walk-Pl-94541/unit-2/home/1523752,EBRD/CCAR/Bay East,40759834,N,Y,37.670178,-122.085396
PAST SALE,April-14-2017,Single Family Residential,7560 Hansom Dr,Oakland,CA,94605-3803,870000,3,3,Sequoyah Hills,1956,12874,1967,286,445,,Sold,,,http://www.redfin.com/CA/Oakland/7560-Hansom-Dr-94605/home/843353,EBRD/CCAR/Bay East,40772213,N,Y,37.7804506,-122.1435497
PAST SALE,October-4-2016,Single Family Residential,3240 62ND Ave,Oakland,CA,94605,530000,2,1,Millsmont Area,1024,4440,1928,478,518,,Sold,,,http://www.redfin.com/CA/Oakland/3240-62nd-Ave-94605/home/1925170,EBRD/CCAR/Bay East,40754913,N,Y,37.7745949,-122.1815529
PAST SALE,July-14-2016,Townhouse,4111 AMBERWOOD Cir,Pleasanton,CA,94588,535000,2,2,Oak Hill,1118,1260,1985,560,479,311,Sold,,,http://www.redfin.com/CA/Pleasanton/4111-Amberwood-Cir-94588/home/1639014,EBRD/CCAR/Bay East,40745247,N,Y,37.675122,-121.913363
PAST SALE,March-3-2017,Single Family Residential,4025 Patterson Ave,Oakland,CA,94619,835000,2,1,Redwood Heights,1097,4800,1937,328,761,,Sold,,,http://www.redfin.com/CA/Oakland/4025-Patterson-Ave-94619/home/1649097,EBRD/CCAR/Bay East,40769815,N,Y,37.7945851,-122.1926859
PAST SALE,July-29-2016,Condo/Co-op,3860 YORKSHIRE St,San Leandro,CA,94578,380000,2,2,Washington Manor,918,918,1987,545,414,396,Sold,,,http://www.redfin.com/CA/San-Leandro/3860-Yorkshire-St-94578/unit-21/home/777761,EBRD/CCAR/Bay East,40744407,N,Y,37.6988999,-122.143815
PAST SALE,December-15-2017,Multi-Family (2-4 Unit),2127 E 21St St,Oakland,CA,94606,639000,4,2,Oakland,1500,1850,1906,41,426,,Sold,,,http://www.redfin.com/CA/Oakland/2127-E-21st-St-94606/home/1476727,EBRD/CCAR/Bay East,40787388,N,Y,37.789672,-122.233703
PAST SALE,October-20-2017,Condo/Co-op,6706 S Mariposa Ln,Dublin,CA,94568,735000,3,2.5,Dublin,1727,,2013,97,426,235,Sold,,,http://www.redfin.com/CA/Dublin/6706-S-Mariposa-Ln-94568/home/50262198,EBRD/CCAR/Bay East,40797034,N,Y,37.713298,-121.911953
PAST SALE,February-23-2017,Single Family Residential,3927 Canon Ave,Oakland,CA,94602,770000,2,1,Oakland,1136,4712,1941,336,678,,Sold,,,http://www.redfin.com/CA/Oakland/3927-Canon-Ave-94602/home/1508679,EBRD/CCAR/Bay East,40767776,N,Y,37.8036669,-122.2176672
PAST SALE,July-31-2017,Condo/Co-op,407 Orange #302,Oakland,CA,94610,530000,1,1,Adams Point,980,,1970,178,541,479,Sold,,,http://www.redfin.com/CA/Oakland/407-Orange-St-94610/unit-302/home/525774,EBRD/CCAR/Bay East,40785470,N,Y,37.8172922,-122.2548817
PAST SALE,June-7-2016,Condo/Co-op,4279 Fitzwilliam St,Dublin,CA,94568,693000,3,2.5,Dublin Ranch,2176,,2005,597,318,245,Sold,,,http://www.redfin.com/CA/Dublin/4279-Fitzwilliam-St-94568/home/2112881,EBRD/CCAR/Bay East,40734413,N,Y,37.707128,-121.862226
PAST SALE,November-21-2016,Single Family Residential,4436 FAULKNER Dr,Fremont,CA,94536,867750,3,2,Glenmoor,1812,8691,1964,430,479,12,Sold,,,http://www.redfin.com/CA/Fremont/4436-Faulkner-Dr-94536/home/1534067,EBRD/CCAR/Bay East,40760387,N,Y,37.5505751,-122.0058017
PAST SALE,December-20-2016,Townhouse,1221 George Cir,Hayward,CA,94541,605000,3,2.5,Hayward,1809,,2013,401,334,205,Sold,,,http://www.redfin.com/CA/Hayward/1221-George-Cir-94544/home/57179868,EBRD/CCAR/Bay East,40763222,N,Y,37.660865,-122.091127
PAST SALE,October-6-2017,Single Family Residential,229 Wild Flower Ct,Pleasanton,CA,94566,890000,3,2,Heritage Gardens,1421,3833,1991,111,626,80,Sold,,,http://www.redfin.com/CA/Pleasanton/229-Wild-Flower-Ct-94566/home/1866718,EBRD/CCAR/Bay East,40795281,N,Y,37.6635762,-121.8600328
PAST SALE,January-19-2017,Single Family Residential,4341 Santee Rd,Fremont,CA,94555,945000,4,2,Northgate,1402,5800,1973,371,674,,Sold,,,http://www.redfin.com/CA/Fremont/4341-Santee-Rd-94555/home/1115119,EBRD/CCAR/Bay East,40765767,N,Y,37.5689938,-122.0388477
PAST SALE,July-24-2017,Townhouse,761 Pine St,Livermore,CA,94551,507500,3,1.5,Northside,1182,1426,1970,185,429,258,Sold,,,http://www.redfin.com/CA/Livermore/761-Pine-St-94551/home/1549735,EBRD/CCAR/Bay East,40785476,N,Y,37.688144,-121.789717
PAST SALE,October-9-2017,Single Family Residential,57 Tunnel Rd,Berkeley,CA,94705,1490000,3,2.5,Claremont,1780,5560,1930,108,837,,Sold,,,http://www.redfin.com/CA/Berkeley/57-Tunnel-Rd-94705/home/1270962,EBRD/CCAR/Bay East,40795748,N,Y,37.8570176,-122.2413433
PAST SALE,July-19-2016,Single Family Residential,19398 STANTON Ave,Castro Valley,CA,94546,579000,2,2,Castro Valley,1118,16740,1941,555,518,,Sold,,,http://www.redfin.com/CA/Castro-Valley/19398-Stanton-Ave-94546/home/822502,EBRD/CCAR/Bay East,40740673,N,Y,37.702629,-122.095145
PAST SALE,March-30-2016,Townhouse,7387 STONEDALE Dr,Pleasanton,CA,94588,701000,2,2.5,The Gables,1502,1460,1988,666,467,325,Sold,,,http://www.redfin.com/CA/Pleasanton/7387-Stonedale-Dr-94588/home/615306,EBRD/CCAR/Bay East,40730122,N,Y,37.689495,-121.920274
PAST SALE,May-13-2016,Townhouse,3531 DAYTON Cmn,Fremont,CA,94538,805000,3,2.5,Liberty Commons,1430,1136,1999,622,563,200,Sold,,,http://www.redfin.com/CA/Fremont/3531-Dayton-Cmn-94538/home/1788014,EBRD/CCAR/Bay East,40734931,N,Y,37.546686,-121.975979
PAST SALE,November-9-2017,Single Family Residential,570 Firenza St,Livermore,CA,94551,1035000,5,3,Monticello,2748,7560,1994,77,377,,Sold,,,http://www.redfin.com/CA/Livermore/570-Firenza-St-94551/home/890655,EBRD/CCAR/Bay East,40797668,N,Y,37.6865277,-121.7930546
PAST SALE,May-22-2017,Single Family Residential,33545 5Th St,Union City,CA,94587,730000,4,3.5,Decoto,1524,5000,1962,248,479,,Sold,,,http://www.redfin.com/CA/Union-City/33545-5th-St-94587/home/22962677,EBRD/CCAR/Bay East,40781134,N,Y,37.6020696,-122.0205398
PAST SALE,June-9-2017,Single Family Residential,8009 Earl St,Oakland,CA,94605,685000,3,2,Eastmont Hills,1573,4500,1937,230,435,,Sold,,,http://www.redfin.com/CA/Oakland/8009-Earl-St-94605/home/579005,EBRD/CCAR/Bay East,40779794,N,Y,37.7696034,-122.156195
PAST SALE,September-6-2017,Townhouse,44 Glashaus Loop,Emeryville,CA,94608,716888,2,2.5,Emeryville,1121,,2007,141,640,210,Sold,,,http://www.redfin.com/CA/Emeryville/44-Glashaus-Loop-94608/home/17185729,EBRD/CCAR/Bay East,40785663,N,Y,37.846639,-122.290397
PAST SALE,August-25-2017,Townhouse,1320 Mattox Rd,Hayward,CA,94541,500000,2,2,Hayward,1531,,2005,153,327,252,Sold,,,http://www.redfin.com/CA/Hayward/1320-Mattox-Rd-94541/home/949256,EBRD/CCAR/Bay East,40788801,N,Y,37.687562,-122.097163
PAST SALE,August-10-2017,Single Family Residential,805 Turino St,Livermore,CA,94551,1020000,5,3,Monticello,2748,8294,1994,168,371,,Sold,,,http://www.redfin.com/CA/Livermore/805-Turino-St-94551/home/927592,EBRD/CCAR/Bay East,40786349,N,Y,37.6864935,-121.7923128
PAST SALE,January-13-2017,Condo/Co-op,1500 Park Ave #120,Emeryville,CA,94608,575000,1,1,Emeryville,972,,1921,377,592,380,Sold,,,http://www.redfin.com/CA/Emeryville/1500-Park-Ave-94608/unit-120/home/1710241,EBRD/CCAR/Bay East,40763876,N,Y,37.830922,-122.2896093
PAST SALE,June-24-2016,Townhouse,40255 BONICA ROSE Ter,Fremont,CA,94538,665000,2,2.5,Rosewood,1176,,2009,580,565,300,Sold,,,http://www.redfin.com/CA/Fremont/40255-Bonica-Rose-Ter-94538/home/22962867,EBRD/CCAR/Bay East,40735873,N,Y,37.534429,-121.9742163
PAST SALE,September-29-2017,Single Family Residential,6981 Alamo Crk,Dublin,CA,94568,825000,3,2.5,Alamo Creek,1873,1531,2013,118,440,143,Sold,,,http://www.redfin.com/CA/Dublin/6981-Alamo-Creek-Trl-94568/home/50262235,EBRD/CCAR/Bay East,40796988,N,Y,37.7169725,-121.9112017
PAST SALE,October-3-2016,Townhouse,7816 Gate Way,Dublin,CA,94568,579000,3,2.5,Coral Gate,1482,1424,1988,479,391,420,Sold,,,http://www.redfin.com/CA/Dublin/7816-Gate-Way-94568/home/1166199,EBRD/CCAR/Bay East,40754835,N,Y,37.722876,-121.938311
PAST SALE,April-24-2017,Single Family Residential,594 Meadowlark St,Livermore,CA,94551,671000,5,2,Northside,1482,6032,1962,276,453,,Sold,,,http://www.redfin.com/CA/Livermore/594-Meadowlark-St-94551/home/1410737,EBRD/CCAR/Bay East,40774917,N,Y,37.684997,-121.788794
PAST SALE,November-4-2016,Single Family Residential,972 55TH St,Oakland,CA,94608,725000,4,3,Oakland,2067,2720,1911,447,351,,Sold,,,http://www.redfin.com/CA/Oakland/972-55th-St-94608/home/1880507,EBRD/CCAR/Bay East,40753858,N,Y,37.8392918,-122.2772785
PAST SALE,July-26-2016,Single Family Residential,11354 BLOOMINGTON Way,Dublin,CA,94568,1015000,5,3,Dublin Hills,2405,23049,1987,548,422,,Sold,,,http://www.redfin.com/CA/Dublin/11354-Bloomington-Way-94568/home/1954483,EBRD/CCAR/Bay East,40745280,N,Y,37.7186643,-121.9521056
PAST SALE,September-5-2017,Single Family Residential,4009 Malcolm Ave,Oakland,CA,94605,740000,3,2.5,Chabot Park,1948,9086,1960,142,380,,Sold,,,http://www.redfin.com/CA/Oakland/4009-Malcolm-Ave-94605/home/1993133,EBRD/CCAR/Bay East,40787391,N,Y,37.7508175,-122.1349989
PAST SALE,December-4-2017,Single Family Residential,1945 Sherman Dr,Union City,CA,94587,829000,3,2,Union City,1349,6000,1968,52,615,,Sold,,,http://www.redfin.com/CA/Union-City/1945-Sherman-Dr-94587/home/1816145,EBRD/CCAR/Bay East,40802298,N,Y,37.5949713,-122.0311013
PAST SALE,May-22-2017,Condo/Co-op,180 Caldecott #115,Oakland,CA,94618-2401,435000,1,1,Parkwoods,773,,1995,248,563,426,Sold,,,http://www.redfin.com/CA/Oakland/180-Caldecott-Ln-94618/unit-115/home/1533926,EBRD/CCAR/Bay East,40779943,N,Y,37.8557192,-122.2202777
PAST SALE,December-18-2017,Single Family Residential,6923 Bristol Dr,Berkeley,CA,94705,1120000,4,3.5,Claremont Hills,3601,6922,1995,38,311,,Sold,,,http://www.redfin.com/CA/Berkeley/6923-Bristol-Dr-94705/home/632760,EBRD/CCAR/Bay East,40801225,N,Y,37.8575478,-122.2237068
PAST SALE,September-7-2017,Condo/Co-op,1511 Jefferson St #307,Oakland,CA,94612,772500,2,2,Downtown,1230,,2007,140,628,458,Sold,,,http://www.redfin.com/CA/Oakland/1511-Jefferson-St-94612/unit-307/home/12115854,EBRD/CCAR/Bay East,40789883,N,Y,37.8068727,-122.2744844
PAST SALE,October-27-2017,Single Family Residential,4751 Dunkirk Ave,Oakland,CA,94605,810000,3,2,Grass Valley,1524,6912,1956,90,531,,Sold,,,http://www.redfin.com/CA/Oakland/4751-Dunkirk-Ave-94605/home/661538,EBRD/CCAR/Bay East,40797923,N,Y,37.753454,-122.1243789
PAST SALE,August-17-2017,Condo/Co-op,3813 Milton Ter,Fremont,CA,94555,520000,2,2,Parkside Place,985,63340,1986,161,528,315,Sold,,,http://www.redfin.com/CA/Fremont/3813-Milton-Ter-94555/home/905553,EBRD/CCAR/Bay East,40788962,N,Y,37.578711,-122.043266
PAST SALE,September-21-2017,Single Family Residential,695 Rand Ave,Oakland,CA,94610,1075000,4,1,Grand Lake,2502,4056,1912,126,430,,Sold,,,http://www.redfin.com/CA/Oakland/695-Rand-Ave-94610/home/1815990,EBRD/CCAR/Bay East,40792644,N,Y,37.8107526,-122.2464194
