SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-2-2018,Condo/Co-op,38 N Almaden Blvd #309,SAN JOSE,CA,95110,715000,1,1.0,SAN JOSE,925,21192,2008,28,773,504,Sold,,,http://www.redfin.com/CA/San-Jose/38-N-Almaden-Blvd-95110/unit-309/home/17289272,MLSListings,ML81686691,N,Y,37.3348273,-121.8957794
PAST SALE,January-17-2018,Condo/Co-op,1550 Technology Dr #1086,SAN JOSE,CA,95110,568000,1,1.0,SAN JOSE,885,799,2005,13,642,434,Sold,,,http://www.redfin.com/CA/San-Jose/1550-Technology-Dr-95110/unit-1086/home/2123238,MLSListings,ML81687110,N,Y,37.3635149,-121.9139854
PAST SALE,January-23-2018,Single Family Residential,77 W Humboldt St,SAN JOSE,CA,95110,761000,2,1.0,SAN JOSE,748,4334,1922,7,1017,,Sold,,,http://www.redfin.com/CA/San-Jose/77-W-Humboldt-St-95110/home/902416,MLSListings,ML81686901,N,Y,37.3177482,-121.8781688
PAST SALE,,Single Family Residential,1473 Padres Dr,San Jose,CA,95125,511500,2,1.0,,1343,6000,1957,,381,,,,,http://www.redfin.com/CA/San-Jose/1473-Padres-Dr-95125/home/1536559,,,N,Y,37.3069728,-121.8888518
PAST SALE,January-8-2018,Townhouse,4677 Persimmon Pl,SAN JOSE,CA,95129,1000000,2,1.0,SAN JOSE,880,1600,1973,22,1136,330,Sold,,,http://www.redfin.com/CA/San-Jose/4677-Persimmon-Pl-95129/home/1151308,MLSListings,ML81684208,N,Y,37.3166152,-121.985257
PAST SALE,,Single Family Residential,10566 John Way,Cupertino,CA,95014,418000,3,1.0,,1718,9044,1951,,243,,,,,http://www.redfin.com/CA/Cupertino/10566-John-Way-95014/home/784405,,,N,Y,37.3146042,-122.0348042
PAST SALE,January-17-2018,Single Family Residential,251 N Leigh Ave,CAMPBELL,CA,95008,1260000,3,1.0,CAMPBELL,1680,8239,1925,13,750,,Sold,,,http://www.redfin.com/CA/Campbell/251-N-Leigh-Ave-95008/home/1829319,MLSListings,ML81685508,N,Y,37.2905238,-121.9228992
PAST SALE,January-5-2018,Single Family Residential,1351 Cliffwood Dr,SAN JOSE,CA,95122,655000,3,1.0,SAN JOSE,1237,5081,1959,25,530,,Sold,,,http://www.redfin.com/CA/San-Jose/1351-Cliffwood-Dr-95122/home/891472,MLSListings,ML81686135,N,Y,37.3374775,-121.8376285
PAST SALE,January-9-2018,Single Family Residential,401 Oakland Ave,SAN JOSE,CA,95116,700000,3,1.0,SAN JOSE,918,9900,1949,21,763,,Sold,,,http://www.redfin.com/CA/San-Jose/401-Oakland-Ave-95116/home/637214,MLSListings,ML81682388,N,Y,37.3499115,-121.8467469
PAST SALE,,Condo/Co-op,1101 W El Camino Real Unit 309,Mountain View,CA,94040,792500,1,1.0,,845,,2017,,938,,,,,http://www.redfin.com/CA/Mountain-View/1101-W-El-Camino-Real-94040/unit-309/home/143042005,,,N,Y,37.3871979,-122.0874144
