SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-31-2015,Single Family Residential,3337 Vermont Pl,Pleasanton,CA,94588,937000,3,2.0,Pleasanton,1881,5000,1988,922,498,,Sold,,,http://www.redfin.com/CA/Pleasanton/3337-Vermont-Pl-94588/home/1544783,EBRD/CCAR/Bay East,40704844,N,Y,37.6954954,-121.8563569
PAST SALE,May-28-2015,Single Family Residential,4268 Silver St,Pleasanton,CA,94566,798000,3,2.0,Jensen Tract,1212,6924,1956,986,658,,Sold,,,http://www.redfin.com/CA/Pleasanton/4268-Silver-St-94566/home/2038653,EBRD/CCAR/Bay East,40695947,N,Y,37.6686831,-121.8724242
PAST SALE,August-29-2017,Single Family Residential,3713 Vine St,Pleasanton,CA,94566,867500,3,2.5,Heritage Gardens,1671,3760,1990,162,519,80,Sold,,,http://www.redfin.com/CA/Pleasanton/3713-Vine-St-94566/home/1190213,EBRD/CCAR/Bay East,40790260,N,Y,37.6642606,-121.8609788
PAST SALE,October-6-2017,Single Family Residential,229 Wild Flower Ct,Pleasanton,CA,94566,890000,3,2.0,Heritage Gardens,1421,3833,1991,124,626,80,Sold,,,http://www.redfin.com/CA/Pleasanton/229-Wild-Flower-Ct-94566/home/1866718,EBRD/CCAR/Bay East,40795281,N,Y,37.6635762,-121.8600328
PAST SALE,April-29-2015,Single Family Residential,1319 Montrose Pl,Pleasanton,CA,94566,1875000,5,4.5,Bordeaux Estates,4183,15000,2006,1015,448,82,Sold,,,http://www.redfin.com/CA/Pleasanton/1319-Montrose-Pl-94566/home/12114755,EBRD/CCAR/Bay East,40691283,N,Y,37.6549656,-121.8264543
PAST SALE,October-14-2016,Single Family Residential,1068 Harvest Cir,Pleasanton,CA,94566,1085000,4,2.5,Creeks Bend,2150,8193,1978,481,505,,Sold,,,http://www.redfin.com/CA/Pleasanton/1068-Harvest-Cir-94566/home/2044395,EBRD/CCAR/Bay East,40754856,N,Y,37.6662368,-121.8813267
PAST SALE,June-18-2015,Townhouse,5324 Brookside Ct,Pleasanton,CA,94588,705000,4,2.5,Stoneridge,1928,2660,1981,965,366,370,Sold,,,http://www.redfin.com/CA/Pleasanton/5324-Brookside-Ct-94588/home/995109,EBRD/CCAR/Bay East,40699982,N,Y,37.689374,-121.922526
PAST SALE,June-1-2015,Single Family Residential,4150 Rennellwood Way,Pleasanton,CA,94566,725000,2,2.0,Heritage Cove,1280,3486,1976,982,566,,Sold,,,http://www.redfin.com/CA/Pleasanton/4150-Rennellwood-Way-94566/home/1672764,EBRD/CCAR/Bay East,40693964,N,Y,37.6797201,-121.8702329
PAST SALE,July-14-2016,Townhouse,4111 AMBERWOOD Cir,Pleasanton,CA,94588,535000,2,2.0,Oak Hill,1118,1260,1985,573,479,311,Sold,,,http://www.redfin.com/CA/Pleasanton/4111-Amberwood-Cir-94588/home/1639014,EBRD/CCAR/Bay East,40745247,N,Y,37.675122,-121.913363
PAST SALE,September-5-2016,Townhouse,662 CONCORD Pl,Pleasanton,CA,94566,450000,2,1.5,Vintage Hills,1096,1223,1985,520,411,245,Sold,,,http://www.redfin.com/CA/Pleasanton/662-Concord-Pl-94566/home/1911529,EBRD/CCAR/Bay East,40751266,N,Y,37.6606389,-121.8550317
