SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,October-10-2017,Single Family Residential,717 Neuchatel Ave,BURLINGAME,CA,94010,1450000,2,1.0,BURLINGAME,940,3441,1926,107,1543,,Sold,,,http://www.redfin.com/CA/Burlingame/717-Neuchatel-Ave-94010/home/687860,MLSListings,ML81676096,N,Y,37.5817315,-122.35286
PAST SALE,June-20-2017,Single Family Residential,544 Heathcliff Dr,PACIFICA,CA,94044,1210000,4,2.0,PACIFICA,1840,8476,1958,219,658,,Sold,,,http://www.redfin.com/CA/Pacifica/544-Heathcliff-Dr-94044/home/586874,MLSListings,ML81649946,N,Y,37.646466,-122.4752127
PAST SALE,November-14-2016,Townhouse,1052 Hull Ln,FOSTER CITY,CA,94404,1165000,2,2.5,FOSTER CITY,1510,808,1989,437,772,435,Sold,,,http://www.redfin.com/CA/Foster-City/1052-Hull-Ln-94404/home/1910420,MLSListings,ML81626697,N,Y,37.548055,-122.255424
PAST SALE,June-9-2017,Townhouse,855 Columbia Cir,REDWOOD CITY,CA,94065,1500000,3,3.0,REDWOOD CITY,1939,514279,1989,230,774,455,Sold,,,http://www.redfin.com/CA/Redwood-City/855-Columbia-Cir-94065/home/1280370,MLSListings,ML81653755,N,Y,37.5363812,-122.2376306
PAST SALE,July-21-2016,Townhouse,316 S Humboldt St,San Mateo,CA,94401,965000,2,2.5,San Mateo,1580,,1999,553,611,295,Sold,,,http://www.redfin.com/CA/San-Mateo/316-S-Humboldt-St-94401/home/1532806,San Francisco MLS,445973,N,Y,37.5689599,-122.3158889
PAST SALE,June-19-2017,Single Family Residential,125 A St,South San Francisco,CA,94080,732000,2,1.0,South San Francisco,860,2500,1941,220,851,,Sold,,,http://www.redfin.com/CA/South-San-Francisco/125-A-St-94080/home/1077190,San Francisco MLS,458199,N,Y,37.6530185,-122.4308935
PAST SALE,December-29-2017,Condo/Co-op,1031 Cherry Ave #3,SAN BRUNO,CA,94066,561000,1,1.0,SAN BRUNO,832,176288,1979,27,674,346,Sold,,,http://www.redfin.com/CA/San-Bruno/1031-Cherry-Ave-94066/unit-3/home/1137080,MLSListings,ML81685957,N,Y,37.630209,-122.428338
PAST SALE,April-21-2017,Single Family Residential,5030 Palmetto Ave,PACIFICA,CA,94044,1000000,4,3.0,PACIFICA,1750,4000,1966,279,571,,Sold,,,http://www.redfin.com/CA/Pacifica/5030-Palmetto-Ave-94044/home/2003917,MLSListings,ML81641491,N,Y,37.6607801,-122.4893629
PAST SALE,February-9-2016,Condo/Co-op,124 Rosa Flora Cir,South San Francisco,CA,94080,712000,3,2.5,South San Francisco,1200,,1990,716,593,265,Sold,,,http://www.redfin.com/CA/South-San-Francisco/124-Rosa-Flora-Cir-94080/home/613336,San Francisco MLS,440344,N,Y,37.6450768,-122.4316234
PAST SALE,June-7-2017,Single Family Residential,10 Colegrove,SAN MATEO,CA,94403,1230000,2,1.0,SAN MATEO,1100,4600,1947,232,1118,,Sold,,,http://www.redfin.com/CA/San-Mateo/10-Colegrove-Ct-94403/home/756874,MLSListings,ML81649945,N,Y,37.5328439,-122.2963867
