SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Condo/Co-op,255 S Rengstorff Ave Apt 42,Mountain View,CA,94040,679000,2,1.0,,935,,1965,,726,,,,,http://www.redfin.com/CA/Mountain-View/255-S-Rengstorff-Ave-94040/unit-42/home/1254159,,,N,Y,37.399553,-122.098889
PAST SALE,June-3-2015,Condo/Co-op,2255 Showers Dr #414,MOUNTAIN VIEW,CA,94040,627000,1,1.0,MOUNTAIN VIEW,769,871,1999,972,815,285,Sold,,,http://www.redfin.com/CA/Mountain-View/2255-Showers-Dr-94040/unit-414/home/2121515,MLSListings,ML81461714,N,Y,37.4072721,-122.1080943
PAST SALE,August-27-2015,Condo/Co-op,255 S RENGSTORFF Ave #158,MOUNTAIN VIEW,CA,94040,520000,1,1.0,MOUNTAIN VIEW,812,,1965,887,640,448,Sold,,,http://www.redfin.com/CA/Mountain-View/255-S-Rengstorff-Ave-94040/unit-158/home/1762520,MLSListings,ML81485400,N,Y,37.399553,-122.098889
PAST SALE,August-14-2015,Condo/Co-op,255 S Rengstorff Ave #38,MOUNTAIN VIEW,CA,94040,635000,2,1.0,MOUNTAIN VIEW,935,,1965,900,679,500,Sold,,,http://www.redfin.com/CA/Mountain-View/255-S-Rengstorff-Ave-94040/unit-38/home/1345257,MLSListings,ML81484089,N,Y,37.399553,-122.098889
PAST SALE,,Single Family Residential,530 California St,Mountain View,CA,94041,777000,2,1.0,,1316,3456,1932,,590,,,,,http://www.redfin.com/CA/Mountain-View/530-California-St-94041/home/1354418,,,N,Y,37.3902976,-122.0774495
PAST SALE,November-19-2015,Condo/Co-op,2255 Showers Dr #213,MOUNTAIN VIEW,CA,94040,674500,1,1.0,MOUNTAIN VIEW,769,871,1999,803,877,304,Sold,,,http://www.redfin.com/CA/Mountain-View/2255-Showers-Dr-94040/unit-213/home/2121477,MLSListings,ML81516826,N,Y,37.4072721,-122.1080943
PAST SALE,April-15-2015,Condo/Co-op,255 S Rengstorff Ave #94,MOUNTAIN VIEW,CA,94040,445000,1,1.0,MOUNTAIN VIEW,812,1395,1965,1021,548,465,Sold,,,http://www.redfin.com/CA/Mountain-View/255-S-Rengstorff-Ave-94040/unit-94/home/1397372,MLSListings,ML81457380,N,Y,37.399553,-122.098889
PAST SALE,February-1-2017,Condo/Co-op,2255 Showers Dr #284,MOUNTAIN VIEW,CA,94040,750000,1,1.0,MOUNTAIN VIEW,789,789,1999,363,951,317,Sold,,,http://www.redfin.com/CA/Mountain-View/2255-Showers-Dr-94040/unit-284/home/12172202,MLSListings,ML81633402,N,Y,37.4072721,-122.1080943
PAST SALE,October-14-2016,Condo/Co-op,181 Del Medio Ave #208,MOUNTAIN VIEW,CA,94040,522000,1,1.0,MOUNTAIN VIEW,756,757,1962,473,690,354,Sold,,,http://www.redfin.com/CA/Mountain-View/181-Del-Medio-Ave-94040/unit-208/home/12171970,MLSListings,ML81613209,N,Y,37.4082939,-122.111453
PAST SALE,July-16-2015,Single Family Residential,529 Anza St,MOUNTAIN VIEW,CA,94041,1570000,2,1.0,MOUNTAIN VIEW,1056,5130,1947,929,1487,,Sold,,,http://www.redfin.com/CA/Mountain-View/529-Anza-St-94041/home/619500,MLSListings,ML81467266,N,Y,37.3879778,-122.0768899
